Name,Matchmaking
Player1,147490142
Player2,157616222
Player3,148829233
Player4,143829315
Player5,139808726
Player6,154148138
Player7,151297317
Player8,151297317
Player9,145957813
Player10,142678054
Player11,148829233
Player12,145957813
Player13,151297317
Player14,145957813
Player15,151297317
Player16,145957813
Player17,139808726
Player18,145957813
Player19,157616222
Player20,151297317
Player21,145957813
Player22,148829233
Player23,145957813
Player24,151297317
Player25,145957813
Player26,148829233
Player27,145957813
Player28,148829233
Player29,145957813
Player30,139808726
